run_id,degree,sum_prob,deg_count
20260429_102155_641893,4,0.00370558739860522,268
20260429_102155_641893,44,0.004263108350617312,7
20260429_102155_641893,47,0.004393797903831877,7
20260429_102155_641893,400,0.017317177135412174,1
20260429_102155_641893,14,0.010148123361571377,115
20260429_102155_641893,29,0.007100286226926408,23
20260429_102155_641893,32,0.0025114678886339883,10
20260429_102155_641893,11,0.010212621250614007,176
20260429_102155_641893,8,0.010608774183865698,299
20260429_102155_641893,105,0.005077996834359954,2
20260429_102155_641893,357,0.016137808538804754,1
20260429_102155_641893,34,0.005970015074190637,14
20260429_102155_641893,10,0.010479534418022891,202
20260429_102155_641893,75,0.0024153143434680864,2
20260429_102155_641893,6,0.009230780455282068,400
20260429_102155_641893,55,0.0031054719882367366,4
20260429_102155_641893,23,0.006776187178821316,32
20260429_102155_641893,7,0.008910608753652634,338
20260429_102155_641893,114,0.002499644556986204,1
20260429_102155_641893,28,0.0056949566527679475,21
20260429_102155_641893,333,0.01573735696488817,1
20260429_102155_641893,5,0.005800136295899781,343
20260429_102155_641893,127,0.005903305016205403,2
20260429_102155_641893,123,0.0031309703493587787,1
20260429_102155_641893,9,0.010043096084946808,235
20260429_102155_641893,19,0.0070699920038783635,48
20260429_102155_641893,12,0.011662983046187696,162
20260429_102155_641893,146,0.00786599940858948,2
20260429_102155_641893,52,0.002806607261432737,4
20260429_102155_641893,118,0.006387452659094614,2
20260429_102155_641893,202,0.005973876336795902,1
20260429_102155_641893,42,0.003531077470030129,5
20260429_102155_641893,58,0.002705542867329407,3
20260429_102155_641893,2,0.0006137570770430401,107
20260429_102155_641893,22,0.00781300698361512,39
20260429_102155_641893,116,0.002183449754173887,1
20260429_102155_641893,1092,0.09539752598409616,1
20260429_102155_641893,108,0.002105199849044681,1
20260429_102155_641893,15,0.009190057049108748,90
20260429_102155_641893,182,0.005898586674611373,1
20260429_102155_641893,176,0.01219744099467061,2
20260429_102155_641893,45,0.0037574287499998944,6
20260429_102155_641893,21,0.006516442714814318,35
20260429_102155_641893,41,0.00516689049280862,10
20260429_102155_641893,188,0.005968398312992798,1
20260429_102155_641893,64,0.0054659017906037895,5
20260429_102155_641893,48,0.004959205710909141,7
20260429_102155_641893,72,0.00468050005500776,3
20260429_102155_641893,46,0.0034834191929000663,5
20260429_102155_641893,24,0.008329392951312761,34
20260429_102155_641893,18,0.008866617237812348,63
20260429_102155_641893,16,0.006639303806773384,63
20260429_102155_641893,81,0.005000881019799439,3
20260429_102155_641893,27,0.005151698510333468,19
20260429_102155_641893,3,0.0015835094198487724,214
20260429_102155_641893,113,0.002426451246616658,1
20260429_102155_641893,92,0.0036896544254647373,2
20260429_102155_641893,20,0.008083822662514405,50
20260429_102155_641893,192,0.0050658413345364105,1
20260429_102155_641893,159,0.005218229661462454,1
20260429_102155_641893,26,0.006182562220216281,23
20260429_102155_641893,183,0.012674671473127936,2
20260429_102155_641893,30,0.007152457454540914,21
20260429_102155_641893,164,0.003382627684257225,1
20260429_102155_641893,257,0.013723743837783284,1
20260429_102155_641893,17,0.0060251080685085725,52
20260429_102155_641893,83,0.0014166550057464929,1
20260429_102155_641893,101,0.0015850325475029793,1
20260429_102155_641893,54,0.00388569174866082,5
20260429_102155_641893,124,0.0028741703769613533,1
20260429_102155_641893,175,0.006180556365153525,1
20260429_102155_641893,76,0.004466385087556271,3
20260429_102155_641893,13,0.009496222845303718,111
20260429_102155_641893,250,0.008340775416364233,1
20260429_102155_641893,53,0.0061290591525923945,6
20260429_102155_641893,25,0.006888101612158671,26
20260429_102155_641893,162,0.008942043695067195,2
20260429_102155_641893,213,0.006610397902086523,1
20260429_102155_641893,150,0.004306830646588615,1
20260429_102155_641893,283,0.009091067064404225,1
20260429_102155_641893,35,0.004005436709960247,11
20260429_102155_641893,37,0.0061276101587086265,13
20260429_102155_641893,168,0.005223216283993015,1
20260429_102155_641893,43,0.005282021441077056,8
20260429_102155_641893,229,0.009174783474472674,1
20260429_102155_641893,536,0.034762966714292326,1
20260429_102155_641893,77,0.010921474819157968,6
20260429_102155_641893,61,0.006513292529005817,7
20260429_102155_641893,49,0.00309281137998874,4
20260429_102155_641893,434,0.018788721726941383,1
20260429_102155_641893,128,0.0028552872169063776,1
20260429_102155_641893,38,0.0032681269853658823,9
20260429_102155_641893,60,0.0006469256352193493,1
20260429_102155_641893,33,0.005578456879849372,15
20260429_102155_641893,31,0.005581563439620459,15
20260429_102155_641893,187,0.006746871974016216,1
20260429_102155_641893,71,0.007911728180086671,5
20260429_102155_641893,99,0.0031441759183530858,1
20260429_102155_641893,237,0.011203563222421088,1
20260429_102155_641893,84,0.0028310628320830237,2
20260429_102155_641893,36,0.00452020945859802,11
20260429_102155_641893,115,0.0028032705535989398,1
20260429_102155_641893,93,0.003422304657156559,2
20260429_102155_641893,40,0.004963456106671269,11
20260429_102155_641893,79,0.0013830014537301557,1
20260429_102155_641893,195,0.007995944605995857,1
20260429_102155_641893,65,0.0040511472916134285,3
20260429_102155_641893,943,0.06289750929983422,1
20260429_102155_641893,68,0.007202129252469694,5
20260429_102155_641893,140,0.003960502957070973,1
20260429_102155_641893,62,0.002785306624580529,3
20260429_102155_641893,67,0.0013183558182725391,1
20260429_102155_641893,311,0.010790022333056485,1
20260429_102155_641893,70,0.0013395506448465842,1
20260429_102155_641893,111,0.002702695821940952,1
20260429_102155_641893,221,0.006740968553173589,1
20260429_102155_641893,156,0.004036401988350967,1
20260429_102155_641893,134,0.006891287077834423,2
20260429_102155_641893,86,0.0014096509558371108,1
20260429_102155_641893,185,0.007741637228544114,1
20260429_102155_641893,112,0.006672483830795379,2
20260429_102155_641893,95,0.0048627411467130205,2
20260429_102155_641893,63,0.0028213859950134493,2
20260429_102155_641893,90,0.003048303054870515,1
20260429_102155_641893,39,0.0031233299647357464,6
20260429_102155_641893,161,0.004190495520356175,1
20260429_102155_641893,119,0.0032947098053802827,1
20260429_102155_641893,51,0.0032909409696378284,4
20260429_102155_641893,50,0.0022638999441335185,2
20260429_102155_641893,189,0.0057084688365962415,1
20260429_102155_641893,110,0.0021565969738113473,1
20260429_102155_641893,200,0.007439685862095134,1
20260429_102155_641893,91,0.0022779334700730775,1
20260429_102155_641893,66,0.00412338524898376,3
20260429_102155_641893,96,0.0016466462877876328,1
20260429_102155_641893,106,0.0014212833707157651,1
20260429_102155_641893,56,0.003510520905595382,3
20260429_102155_641893,1,5.731649662839249e-05,31
20260429_102155_641893,97,0.0017881783279263725,1
20260429_102155_641893,80,0.0016896358724808463,1
20260429_102155_641893,102,0.0023785680699892333,1
20260429_102155_641893,59,0.0018538948761037525,2
20260429_102155_641893,258,0.008203123432664713,1
20260429_102155_641893,129,0.0034867519827489076,1
20260429_102155_641893,169,0.004649875339254586,1
20260429_102155_641893,73,0.0010409281893503104,1
20260429_102155_641893,85,0.001847520537715072,1
20260429_102155_641893,74,0.0010214229007903584,1
20260429_102155_641893,138,0.002533075377381115,1
20260429_102155_641893,139,0.0026434463544993806,1
20260429_102155_641893,89,0.0014799531436688993,1
20260429_102155_641893,57,0.0008736155800440264,1
20260429_102226_126480,8,0.011407205811554747,315
20260429_102226_126480,22,0.0064504272680236474,32
20260429_102226_126480,960,0.06833905490810374,1
20260429_102226_126480,14,0.011165616065525399,113
20260429_102226_126480,2,0.0004751629618411753,99
20260429_102226_126480,21,0.005147286017425759,33
20260429_102226_126480,100,0.009584251184222856,5
20260429_102226_126480,5,0.005082780934236802,318
20260429_102226_126480,23,0.009677731017893971,40
20260429_102226_126480,256,0.011413037222812098,1
20260429_102226_126480,31,0.007286169083435296,22
20260429_102226_126480,13,0.011085399818109255,132
20260429_102226_126480,7,0.009789324909223827,361
20260429_102226_126480,42,0.004388980877563407,9
20260429_102226_126480,9,0.01104386747036017,260
20260429_102226_126480,138,0.00430875743967898,1
20260429_102226_126480,29,0.006583214933443418,22
20260429_102226_126480,64,0.0031048732195361065,3
20260429_102226_126480,24,0.00645464037881069,30
20260429_102226_126480,172,0.004220471117501579,1
20260429_102226_126480,28,0.0051057822369422814,18
20260429_102226_126480,20,0.0058895255397809244,40
20260429_102226_126480,171,0.005927011003917163,1
20260429_102226_126480,27,0.0030283344483069603,14
20260429_102226_126480,41,0.0027416210503642697,7
20260429_102226_126480,83,0.003916991147256456,2
20260429_102226_126480,163,0.004926202965562681,1
20260429_102226_126480,136,0.0031254185277022257,1
20260429_102226_126480,82,0.005992466202445817,4
20260429_102226_126480,3,0.0013930002141475295,176
20260429_102226_126480,60,0.007824019122861603,7
20260429_102226_126480,54,0.004287413869982177,6
20260429_102226_126480,12,0.00957116640676624,148
20260429_102226_126480,250,0.011176431637375138,1
20260429_102226_126480,35,0.006223333715737303,15
20260429_102226_126480,194,0.004966561885537255,1
20260429_102226_126480,38,0.0033518724633457495,9
20260429_102226_126480,177,0.0039627499890542576,1
20260429_102226_126480,84,0.0032686014824617592,2
