name,N,J,noise,periodic,beta,gamma,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,1999,1.0,1e-10,False,1.01,5.81,0.5227979644549186,1.5779450807776747,15.715273159566614,0.3892607977069071,5.4,2,0.995
SD,2000,1.0,1e-10,False,1.21,5.81,0.5357113214588078,1.5739274352878039,16.08281388019169,0.21730597792157078,7.14,3,0.99
SD,2000,1.0,1e-10,False,1.41,5.81,0.5307992969311892,1.57107534666794,16.128893023900936,0.1024836520002573,8.57,2,0.995
SD,2000,1.0,1e-10,False,1.6099999999999999,5.81,0.5345259584454458,1.5684156559591045,17.242848502461353,0.02570172501983997,8.93,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,5.81,0.5352838331895667,1.576757261416312,15.611205732212738,0.04105655239391113,10.72,1,1.0
SD,2000,1.0,1e-10,False,2.01,5.81,0.5407056849318347,1.57359525094094,18.581387310001137,0.013237918551674575,9.42,1,1.0
SD,2000,1.0,1e-10,False,2.21,5.81,0.5209314445865858,1.5725688448891126,19.31573969799705,0.01425574402480707,10.6,1,1.0
SD,2000,1.0,1e-10,False,2.41,5.81,0.5308299778263372,1.571512760384534,20.299035097402417,0.023945189143286125,11.58,1,1.0
SD,2000,1.0,1e-10,False,2.6100000000000003,5.81,0.4651759724215674,1.5570541209485864,17.976890344695697,0.015098811421126117,10.68,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,5.81,0.4403931215227381,1.5873281805237822,24.183793976304663,0.017563799274512053,10.97,1,1.0
SD,1999,1.0,1e-10,False,3.0100000000000007,5.81,0.4298428615189983,1.584286007010686,23.400236874625733,0.015049638110857943,11.55,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,5.81,0.4131242618166554,1.5798167180214315,22.593324897479995,0.01669105552580511,12.31,1,1.0
SD,2000,1.0,1e-10,False,3.410000000000001,5.81,0.40652003617035226,1.5503295451323074,17.992839429790266,0.01172608706975496,9.94,1,1.0
SD,1997,1.0,1e-10,False,3.610000000000001,5.81,0.4058416140352445,1.5731516218411876,21.320756700346955,0.012858189337666264,10.23,1,1.0
SD,2000,1.0,1e-10,False,3.8100000000000014,5.81,0.4026194399523684,1.576805520908887,21.64921605248057,0.01305298327306407,10.24,1,1.0
SD,2000,1.0,1e-10,False,4.010000000000002,5.81,0.3965389895204288,1.5807277794200292,23.144002247767972,0.01899226380712633,11.28,1,1.0
SD,2000,1.0,1e-10,False,4.210000000000002,5.81,0.3946193041425603,1.5776420184635802,22.39860847687916,0.011179034109406892,11.11,1,1.0
SD,2000,1.0,1e-10,False,4.410000000000002,5.81,0.3833163990152907,1.5523616977750403,17.27734352690823,0.010835121946689685,10.55,1,1.0
SD,2000,1.0,1e-10,False,4.610000000000002,5.81,0.40312776535431827,1.5735760498719051,21.68376113631812,0.01090314505416352,10.7,1,1.0
SD,1999,1.0,1e-10,False,4.810000000000002,5.81,0.3985262133062415,1.5716514206021248,20.993835379154223,0.011728916143174476,10.64,1,1.0
SD,1999,1.0,1e-10,False,5.0100000000000025,5.81,0.3875656923773477,1.5851907633380438,23.865602622017818,0.01260653974680747,10.47,1,1.0
SD,1348,1.0,1e-10,False,5.210000000000003,5.81,0.3919660478630803,1.5664308046597712,19.160270293720014,0.014413845677187653,11.348148148148148,1,1.0
