run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260409_220302_251869,SD,3992,1.0,1e-10,False,1.61,2.41,15,15.629258517034069,1179.6107214428857,0.5399388759197636,1.6033785154995044,83.87023084394922,21.80305692776286,0.013375097630523285,27.805,1,1.0
20260409_220613_149325,SD,3995,1.0,1e-10,False,1.61,2.41,15,15.546433041301627,1175.6100125156445,0.5370169565975749,1.6033291053283711,82.71891795244777,20.06034337034361,0.012431213328886446,26.545,1,1.0
20260409_220629_659899,SD,3993,1.0,1e-10,False,1.61,2.41,15,15.54420235411971,1201.8627598297019,0.537423719170543,1.6033832777248007,84.39802178360868,17.716480932435083,0.014194523102558348,27.455,1,1.0
20260409_220645_872797,SD,3997,1.0,1e-10,False,1.61,2.41,15,15.445083812859645,1177.1783837878409,0.5255151939783541,1.6034247699009558,84.12560400297808,22.850514344330996,0.012878089522757454,27.665,1,1.0
20260409_220702_455092,SD,3996,1.0,1e-10,False,1.61,2.41,15,15.563563563563564,1196.4654654654655,0.5213749453260313,1.6034530458508114,85.32488184678043,22.5630043042816,0.011707267465946043,27.31,1,1.0
20260409_220718_907876,SD,3995,1.0,1e-10,False,1.61,2.41,15,15.478848560700875,1180.687859824781,0.5318858099450388,1.6033865001768253,83.65312599134843,20.68166602908463,0.013532769758817035,27.48,1,1.0
20260409_220735_386555,SD,3995,1.0,1e-10,False,1.61,2.41,15,15.542928660826032,1173.955944931164,0.5434005667955328,1.6033361393510437,82.95435110181374,19.575866789797196,0.01423498786581333,27.44,1,1.0
20260409_220751_974563,SD,3996,1.0,1e-10,False,1.61,2.41,15,15.443943943943944,1187.9854854854855,0.5193665290296094,1.6033325255741127,82.70422379695725,18.78440173970167,0.012608744846359717,27.255,1,1.0
20260409_220808_399468,SD,3997,1.0,1e-10,False,1.61,2.41,15,15.669752314235676,1215.5351513635226,0.5401207422474266,1.6033893832836572,84.70773799966682,20.08271123519009,0.014738834972379433,28.17,1,1.0
20260409_220824_980279,SD,3998,1.0,1e-10,False,1.61,2.41,15,15.728864432216108,1232.6143071535769,0.538250322291591,1.6035838061305803,88.9428677127649,22.267387325417396,0.012495875185624616,28.985,1,1.0
20260409_220842_067293,SD,3996,1.0,1e-10,False,1.61,2.41,15,15.575075075075075,1186.8853853853855,0.5395984978396707,1.603456928178249,85.38874590517396,21.318081206075803,0.011872647181339333,27.205,1,1.0
20260409_220858_800287,SD,3992,1.0,1e-10,False,1.61,2.41,15,15.594188376753507,1204.814629258517,0.5374507803709355,1.6034510370738426,85.20799464858153,21.620257930372766,0.012204454105542049,27.37,1,1.0
20260409_220915_071863,SD,3999,1.0,1e-10,False,1.61,2.41,15,15.410352588147036,1156.6076519129783,0.5295970117409476,1.6033060647454889,82.30442016834023,18.42924189779138,0.014332383813583748,27.325,1,1.0
20260409_220931_663090,SD,3996,1.0,1e-10,False,1.61,2.41,15,15.5,1208.522022022022,0.5422731829663685,1.603408025982538,84.12510235346551,21.875771071198102,0.01304540470931215,27.7,1,1.0
20260409_220948_442245,SD,3992,1.0,1e-10,False,1.61,2.41,15,15.635771543086172,1202.1382765531062,0.5305357006195959,1.6034444062880042,85.36593669271743,22.5699732651071,0.017549335663084094,28.98,1,1.0
20260409_221005_054834,SD,3998,1.0,1e-10,False,1.61,2.41,15,15.617808904452225,1207.865432716358,0.5262358257143862,1.6034609521946321,85.5423280712081,21.811086389143583,0.012995451183061104,27.23,1,1.0
20260409_221021_637727,SD,3995,1.0,1e-10,False,1.61,2.41,15,15.474843554443053,1151.670087609512,0.5338467695802204,1.603435125385677,84.71227904436536,20.073425234990566,0.01190266131656179,27.51,1,1.0
20260409_221038_373853,SD,3992,1.0,1e-10,False,1.61,2.41,15,15.630761523046091,1186.8406813627255,0.5334067589555707,1.6033281935130366,83.3531525368002,18.543726941739834,0.01616119905492863,28.395,1,1.0
20260409_221054_654375,SD,3999,1.0,1e-10,False,1.61,2.41,15,15.51737934483621,1171.5803950987747,0.5251070209802146,1.6033757640766861,83.24700448050643,21.543836983126248,0.012454804580949745,26.515,1,1.0
20260409_221405_219294,SD,3997,1.0,1e-10,False,1.61,2.41,15,15.490117588191143,1204.6780085063797,0.5363345657213274,1.6033762728225918,83.69307574653273,19.472559947876256,0.012925403780228923,27.235,1,1.0
20260409_221422_259323,SD,3995,1.0,1e-10,False,1.61,2.41,15,15.506883604505632,1169.6961201501877,0.5424815978149673,1.603550400911023,87.05180977778524,23.134396938148484,0.0109328371944329,27.77,1,1.0
20260409_221754_294434,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0435,254.0065,0.5374567981938896,1.5638121337417288,23.067128896910678,0.1933459214426776,0.05631785604964059,12.805,1,1.0
20260409_221807_740973,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9585,253.675,0.5411778605236327,1.5878536158199161,29.24856302068913,2.699259386526009,0.012611727923195717,14.535,1,1.0
20260409_221820_780422,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.017,255.2815,0.5280735948736466,1.5785760497784365,26.14921685473483,0.26164687884198656,0.01823567219204762,14.07,2,0.9975
20260409_221833_624872,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.807,246.802,0.5330213251593574,1.5646918813001207,22.677511374641632,0.18242284755949356,0.09554590794657133,12.9,3,0.985
20260409_221846_356467,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0955,257.453,0.528159381746985,1.576075494568639,25.581515398895455,0.48754133697853774,0.014573056453330471,13.835,1,1.0
20260409_221859_037901,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1355,258.2485,0.5376710931492347,1.5791837727790778,26.078902356240597,0.5359396091433482,0.022517088923365975,13.98,1,1.0
20260409_221914_457389,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.8725,248.609,0.5335731820031903,1.5810598435289616,25.851871069964922,1.5264000777807283,0.01912204497646108,12.905,1,1.0
20260409_221932_764736,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.148,258.598,0.5369845744545639,1.5751513646059436,24.92280639137105,0.9196709760964374,0.017408289184023235,14.4,1,1.0
20260409_221946_017324,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.968,253.0725,0.5395989904226588,1.5739634738601094,24.82870287121611,0.38917277673322914,0.01738466757226079,12.985,1,1.0
20260409_221959_381991,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0345,253.402,0.5441930397071126,1.5671326309633764,23.334661934622137,0.20473673280361027,0.09986956089448,13.965,1,1.0
20260409_222012_374253,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.045,253.3005,0.5322582162155003,1.5807244432748002,25.985286389685562,1.6890935364521837,0.022106606423757346,15.26,1,1.0
20260409_222025_255519,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.073,255.971,0.5431587215174626,1.56947046581017,24.159152723260462,0.30268836046109016,0.04341637635454362,13.915,3,0.985
