run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260421_161017_900470,SD,3991,1.0,1e-10,False,1.01,2.01,15,17.65722876472062,2309.87321473315,0.5288381093816106,0.6683498435135526,1.604170389540756,114.1958455727898,18573.84415459643,0.014616555062686016,0.017142463966679233,40.145363408521305,1,1.0
20260421_161031_580427,SD,3996,1.0,1e-10,False,1.01,2.01,15,17.4984984984985,2284.545045045045,0.5369245189249976,0.6401671103652967,1.6041412218304292,112.2183076416736,18369.276903562888,0.014746518987569231,0.016970123624511106,39.41,1,1.0
20260421_161045_525890,SD,3996,1.0,1e-10,False,1.01,2.01,15,17.47997997997998,2300.444944944945,0.5382217291376068,0.7754744717378322,1.6041666931436445,113.68006067442882,18755.029118747803,0.013716198322213028,0.018244869633080214,40.4,1,1.0
20260421_161058_312909,SD,3939,1.0,1e-10,False,9.01,2.01,15,15.951764407209952,4497.2246763137855,0.49920717434570533,0.34014363468619374,1.6046846199172542,159.3536638657142,42774.26620227285,0.01514239567781861,0.016765612681231046,54.558375634517766,1,1.0
20260421_161111_097868,SD,3924,1.0,1e-10,False,9.01,2.01,15,16.14271151885831,4522.61875637105,0.49787179299215806,0.32274771404480074,1.6046741975021785,157.58725840489765,40844.72037764744,0.013519318133309581,0.018850210894392032,54.67684478371501,1,1.0
20260421_161123_957402,SD,3947,1.0,1e-10,False,9.01,2.01,15,16.044084114517354,4538.8857360020265,0.49195092665940493,0.2741533370819011,1.6046647168895736,157.85649917411624,40312.05021868925,0.013641392689254033,0.018572662319469756,54.56708860759494,1,1.0
20260421_161138_738499,SD,4000,1.0,1e-10,False,1.01,2.51,15,15.5865,635.3475,0.5449162540852449,1.0123556306977515,1.6014382369496711,55.23804544518935,4874.2261955708045,0.016616983750930767,0.0150448483158682,16.97,1,1.0
20260421_161153_577875,SD,4000,1.0,1e-10,False,1.01,2.51,15,15.694,645.6585,0.5313539523322081,0.8863031600901241,1.6014029499629383,55.34218744000025,4495.883471012032,0.013313936814175156,0.018777316092850056,18.125,1,1.0
20260421_161209_687404,SD,3999,1.0,1e-10,False,1.01,2.51,15,15.645911477869467,644.2135533883471,0.5295300575312123,1.0359625388101295,1.601729369193907,57.48428027498967,5437.82929212192,0.018632078490266435,0.013421074613846336,17.93,1,1.0
20260421_161223_327528,SD,3995,1.0,1e-10,False,9.01,2.51,15,14.885106382978723,1101.028785982478,0.487529171291672,0.32267088971107966,1.6032467084131048,85.12313194604069,8891.773540351536,0.024254173636366564,0.010320404845233512,26.29,1,1.0
20260421_161238_046603,SD,3983,1.0,1e-10,False,9.01,2.51,15,15.058498619131308,1121.7489329651016,0.5002994838723019,0.4278483594151973,1.6031665346235593,84.60978542926917,7773.2844574487835,0.019955528490182835,0.012581327275889025,27.19298245614035,1,1.0
20260421_161254_724839,SD,3990,1.0,1e-10,False,9.01,2.51,15,14.940852130325814,1123.0877192982457,0.5100041265154384,0.4258382716159814,1.6032438996489002,85.78350679851886,7970.557056909806,0.019306280294425975,0.012981608191423591,27.283208020050125,1,1.0
20260421_161308_632674,SD,4000,1.0,1e-10,False,1.01,3.01,15,15.338,384.3375,0.5267329492594476,0.9732025528355023,1.5972759438679693,37.67361511896654,2256.6621730834026,0.014175789849744498,0.017635701618735972,11.755,1,1.0
20260421_161322_194073,SD,4000,1.0,1e-10,False,1.01,3.01,15,15.3985,387.9325,0.5286231453504602,0.766182668349647,1.596573885437254,36.41577223919218,1829.281432523607,0.008709083745091339,0.028705660356166212,11.225,1,1.0
20260421_161335_940704,SD,4000,1.0,1e-10,False,1.01,3.01,15,15.472,389.431,0.5302334315531837,0.8588025135556702,1.5968080998834553,36.95251786036449,1958.4731370143784,0.0068266911043512145,0.036620962656513684,12.12,1,1.0
20260421_161350_813774,SD,4000,1.0,1e-10,False,9.01,3.01,15,15.429,518.167,0.45177715157847914,0.2947478996546267,1.5968508055385147,51.53789014506084,888.4957309328704,0.026062085953655594,0.009592478531632415,17.125,1,1.0
20260421_161406_156981,SD,3999,1.0,1e-10,False,9.01,3.01,15,15.641410352588148,528.3280820205051,0.4579159141126774,0.24009447285206506,1.5978914637499149,52.45372081894099,2135.3730428417457,0.024389699729679498,0.010252791891677515,17.82,1,1.0
20260421_161422_307689,SD,3998,1.0,1e-10,False,9.01,3.01,15,15.422711355677839,528.6508254127064,0.4481880081783338,0.30293889104822525,1.6024400275256234,72.5897080193255,8730.087101241405,0.02234558582450712,0.011193488704912156,24.95,1,1.0
20260421_161435_394329,SD,4000,1.0,1e-10,False,1.01,3.51,15,15.118,305.507,0.5431786330843655,0.9455575987637679,1.5920743814236669,29.1423251506578,1404.518337270972,0.003629411566307765,0.06888168934071244,9.525,1,1.0
20260421_161449_004831,SD,4000,1.0,1e-10,False,1.01,3.51,15,15.443,321.938,0.5393608537148438,1.044686099996238,1.5924990868179123,30.16339701084008,1110.770319980446,0.0032518159307508765,0.07688012031550401,10.04,1,1.0
20260421_161503_567076,SD,4000,1.0,1e-10,False,1.01,3.51,15,15.268,311.814,0.5295344822886477,0.8746838078930356,1.592169888784099,29.479206205493746,1148.2271606846434,0.0031972586876892494,0.07819198395256599,9.605,1,1.0
20260421_161519_800440,SD,3999,1.0,1e-10,False,9.01,3.51,15,15.75043760940235,377.16279069767444,0.409882197269189,-0.014085659450422705,1.5843606876674714,39.57278029410214,306.3018618614993,0.026809487367968857,0.009327388927535934,18.395,1,1.0
20260421_161535_772249,SD,4000,1.0,1e-10,False,9.01,3.51,15,15.877,382.9375,0.4123520112507608,-0.052474922540435606,1.5812023524495642,37.80685481724512,215.82526937555693,0.01892677354918084,0.013208801772282001,16.885,1,1.0
