name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,500,1.0,1e-10,False,1.01,6.01,20,0.5209525650926513,1.6053732045026032,31.10927497420218,0.60383313887896,9.32,2,0.98
SD,500,1.0,1e-10,False,1.01,6.01,20,0.5350973615034418,1.604589832525533,29.639896545017933,0.6036054518568997,8.52,1,1.0
SD,500,1.0,1e-10,False,1.01,6.01,20,0.519400302781857,1.6051271716856204,30.643444870675356,0.4964333896751369,11.8,1,1.0
SD,500,1.0,1e-10,False,1.01,6.01,20,0.5465972028580824,1.6045259244109276,29.975542335552564,0.6681921573789681,7.24,1,1.0
SD,500,1.0,1e-10,False,1.21,6.01,20,0.5342298764431845,1.6038192182645046,30.9675748266933,0.5407903587486949,8.56,1,1.0
SD,500,1.0,1e-10,False,1.21,6.01,20,0.5289533218909953,1.6028238067004863,29.561917864822476,0.6121463153547542,7.52,1,1.0
SD,500,1.0,1e-10,False,1.21,6.01,20,0.5289635045182448,1.6046636987058538,31.585628045229495,0.4018061959649493,11.24,2,0.98
SD,500,1.0,1e-10,False,1.21,6.01,20,0.555325926170769,1.6031332294517844,29.971766187876337,0.6427082552238401,6.68,1,1.0
SD,500,1.0,1e-10,False,1.41,6.01,20,0.542134600286871,1.6019386156638675,30.670340123268954,0.3258242638851723,13.28,2,0.94
SD,500,1.0,1e-10,False,1.41,6.01,20,0.5504444299329635,1.6026578597873335,31.745195815475764,0.3661933641259854,14.24,1,1.0
SD,500,1.0,1e-10,False,1.41,6.01,20,0.5195493542940562,1.6023721523853978,31.996103822829685,0.3835700931346945,14.28,1,1.0
SD,500,1.0,1e-10,False,1.41,6.01,20,0.5576252033852287,1.6020009118807923,30.793007534758665,0.4386858686218343,11.68,1,1.0
SD,500,1.0,1e-10,False,1.61,6.01,20,0.5379612057643071,1.6007976049743078,32.30503506059475,0.1754061210148567,18.04,1,1.0
SD,500,1.0,1e-10,False,1.61,6.01,20,0.5430683137040697,1.5985238840914344,31.214065332337483,0.3028403043654962,16.36,1,1.0
SD,500,1.0,1e-10,False,1.61,6.01,20,0.5353769265017397,1.6015498403060506,32.54900358206133,0.2554240789698757,14.84,1,1.0
SD,500,1.0,1e-10,False,1.61,6.01,20,0.5339866774115292,1.5966806865538663,29.22221638574123,0.5618555964858224,8.84,1,1.0
SD,500,1.0,1e-10,False,1.81,6.01,20,0.5405510801535719,1.5941951970398835,29.696907254654853,0.3853888410473126,13.0,1,1.0
SD,500,1.0,1e-10,False,1.81,6.01,20,0.5343699957579315,1.602506807511937,33.20890750612155,0.1536844429380536,18.88,1,1.0
SD,500,1.0,1e-10,False,1.81,6.01,20,0.5233899660722219,1.59467727470529,30.025391011846366,0.260392016670724,14.96,1,1.0
